Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,IncomeBand,SHAP_Age,SHAP_DailyRate,SHAP_DistanceFromHome,SHAP_Education,SHAP_EmployeeCount,SHAP_EmployeeNumber,SHAP_EnvironmentSatisfaction,SHAP_HourlyRate,SHAP_JobInvolvement,SHAP_JobLevel,SHAP_JobSatisfaction,SHAP_MonthlyIncome,SHAP_MonthlyRate,SHAP_NumCompaniesWorked,SHAP_OverTime,SHAP_PercentSalaryHike,SHAP_PerformanceRating,SHAP_RelationshipSatisfaction,SHAP_StandardHours,SHAP_StockOptionLevel,SHAP_TotalWorkingYears,SHAP_TrainingTimesLastYear,SHAP_WorkLifeBalance,SHAP_YearsAtCompany,SHAP_YearsInCurrentRole,SHAP_YearsSinceLastPromotion,SHAP_YearsWithCurrManager,SHAP_BusinessTravel_Travel_Frequently,SHAP_BusinessTravel_Travel_Rarely,SHAP_Department_Research & Development,SHAP_Department_Sales,SHAP_EducationField_Life Sciences,SHAP_EducationField_Marketing,SHAP_EducationField_Medical,SHAP_EducationField_Other,SHAP_EducationField_Technical Degree,SHAP_Gender_Male,SHAP_JobRole_Human Resources,SHAP_JobRole_Laboratory Technician,SHAP_JobRole_Manager,SHAP_JobRole_Manufacturing Director,SHAP_JobRole_Research Director,SHAP_JobRole_Research Scientist,SHAP_JobRole_Sales Executive,SHAP_JobRole_Sales Representative,SHAP_MaritalStatus_Married,SHAP_MaritalStatus_Single,SHAP_TenureBucket_10+,SHAP_TenureBucket_2-5,SHAP_TenureBucket_5-10,SHAP_SatisfactionLevel_Low,SHAP_SatisfactionLevel_Medium,SHAP_WorkloadIndex,SHAP_Cluster,SHAP_IncomeBand_Medium,SHAP_IncomeBand_High,SHAP_IncomeBand_Very High
41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,1,1,2,Female,94,3,2,Sales Executive,4,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,High,0.13566937800248755,-0.009614095651318912,-0.016010495476916346,0.04778794847480255,0.0,0.04833264532258553,-0.540586758392035,-0.00333154495070997,-0.2125814114144195,0.21554800982101666,0.1160313117394257,0.03780841682447385,0.00435506923350033,-0.21531553389472113,-0.3422535153433911,0.09672263135722338,-0.01340172119081044,-0.049544054592665795,0.0,-0.16684681804499782,0.5377609853843581,0.10923776532904936,-0.1353601276746278,-0.021868514345985437,0.44136454901070915,-0.14387474156101307,0.7234698290412089,-0.11573549831230627,0.14327548384108543,0.2211444810103888,0.21356797223332402,-0.03608473510053368,-0.01330135019986072,0.07781538910602696,0.005034926701472951,-0.01585302632094916,-0.06584437257806852,-0.0014899820356991573,-0.06421246739752184,-0.0006848827695574825,0.02856102685914129,0.005282928057538447,0.05059445268716383,-0.014430077527680201,0.22946953377522236,-0.10677665946777021,-0.13458284309129234,-0.009183366219894025,0.14738469609543514,0.031467435843413584,0.011505516280934713,-0.030122942271610022,0.018396375080865574,0.0007850128567203216,0.09773766530159582,0.10731808826554708,-0.03483556544200732
49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,1,2,3,Male,61,2,2,Research Scientist,2,Married,5130,24907,1,Y,No,23,4,4,80,1,10,3,3,10,7,1,7,High,0.015607981540109186,-0.09911281287248414,-0.016010495476916346,0.09809105213248943,0.0,0.02595017831497186,0.6973981844904878,-0.0015143386139590772,-0.8378208567509478,0.21554800982101666,-0.44997508698947997,0.03780841682447385,-0.0025541966333217227,-0.21531553389472113,-0.3422535153433911,0.09672263135722338,-0.01340172119081044,-0.2972643275559945,0.0,-0.16684681804499782,0.10447102401826831,-0.32196393991719824,-0.1353601276746278,-0.021868514345985437,0.05756928900139685,0.3057338258171527,0.08323104227907714,-0.11573549831230627,-0.058520972273119407,-0.10892190855735566,-0.08723198865868163,-0.03608473510053368,-0.01330135019986072,0.07781538910602696,0.005034926701472951,-0.01585302632094916,-0.06584437257806852,-0.0014899820356991573,-0.06421246739752184,-0.0006848827695574825,0.02856102685914129,0.005282928057538447,-0.23048584001930192,-0.014430077527680201,-0.004683051709698416,-0.10677665946777021,-0.13458284309129234,-0.009183366219894025,0.14738469609543514,-0.06388843034874879,-0.014062297676697987,-0.030122942271610022,0.018396375080865574,0.0007850128567203216,0.09773766530159582,0.10731808826554708,-0.03483556544200732
37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,1,4,4,Male,92,2,1,Laboratory Technician,3,Single,2090,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0,Low,0.015607981540109186,0.03466749962883949,-0.016010495476916346,-0.0025151551828843355,0.0,-0.0309498281742629,-0.1279251107645274,0.006965957624211755,0.4126580339221087,-0.15931809421553408,-0.44997508698947997,-0.1512336672978954,-0.005402344198113886,0.6865296342507077,-0.3422535153433911,-0.21033334120539057,0.06543193287278042,-0.049544054592665795,0.0,-0.16684681804499782,0.10447102401826831,-0.03449613641969984,0.3480688997347575,-0.021868514345985437,0.05756928900139685,-0.14387474156101307,0.08323104227907714,-0.11573549831230627,-0.058520972273119407,0.2211444810103888,0.21356797223332402,-0.03608473510053368,-0.01330135019986072,0.07781538910602696,0.005034926701472951,-0.01585302632094916,0.053872668472965145,-0.0014899820356991573,-0.06421246739752184,0.009099156795549408,0.02856102685914129,0.005282928057538447,0.05059445268716383,-0.014430077527680201,-0.004683051709698416,0.12040772237854938,-0.13458284309129234,-0.009183366219894025,-0.27371443560580816,0.031467435843413584,-0.014062297676697987,-0.030122942271610022,-0.016263462028011592,-0.00525354757958985,0.09773766530159582,0.10731808826554708,0.09914737856571314
33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,1,5,4,Female,56,3,1,Research Scientist,3,Married,2909,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0,Low,0.015607981540109186,-0.1246838749356742,-0.016010495476916346,0.04778794847480255,0.0,0.029725534195774166,-0.1279251107645274,-0.0075716930697953865,-0.8378208567509478,-0.5341841982520849,0.39903451110387855,-0.3402757514202646,-0.0012103259138257028,-0.21531553389472113,-0.3422535153433911,0.05834063478689664,-0.01340172119081044,-0.2972643275559945,0.0,-0.7627283110628471,-0.6658222406325579,-0.17823003816844904,0.3480688997347575,0.29053883345380643,-0.3262259710079155,1.2049509605734845,-1.1972465312451865,-0.11573549831230627,-0.058520972273119407,-0.10892190855735566,-0.08723198865868163,-0.03608473510053368,-0.01330135019986072,0.07781538910602696,0.005034926701472951,-0.01585302632094916,0.053872668472965145,-0.0014899820356991573,-0.06421246739752184,0.009099156795549408,0.02856102685914129,0.005282928057538447,0.05059445268716383,-0.014430077527680201,-0.004683051709698416,0.12040772237854938,-0.13458284309129234,0.04821267265444363,0.14738469609543514,0.031467435843413584,0.011505516280934713,-0.030122942271610022,0.0157302337647981,0.0068235732930304925,0.09773766530159582,0.10731808826554708,0.09914737856571314
27,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,7,1,Male,40,3,1,Laboratory Technician,2,Married,3468,16632,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2,Medium,0.015607981540109186,0.1500491211334776,-0.016010495476916346,-0.0025151551828843355,0.0,-0.07796199783282495,-0.540586758392035,-0.0036344126735017857,0.4126580339221087,0.21554800982101666,-0.16697188762502713,0.03780841682447385,-0.003517169863459589,-0.32804617991289975,0.7985915358012459,-0.0568053549240836,-0.01340172119081044,0.4458964913339917,0.0,-0.16684681804499782,0.48961765634368143,0.3967055688265478,0.3480688997347575,-0.021868514345985437,0.44136454901070915,-0.14387474156101307,0.7234698290412089,-0.11573549831230627,-0.058520972273119407,-0.10892190855735566,-0.08723198865868163,0.02119262220190073,-0.01330135019986072,-0.12696195064667556,0.005034926701472951,-0.01585302632094916,0.053872668472965145,-0.0014899820356991573,-0.06421246739752184,-0.0006848827695574825,0.02856102685914129,0.005282928057538447,-0.23048584001930192,-0.014430077527680201,-0.004683051709698416,-0.10677665946777021,-0.13458284309129234,-0.009183366219894025,0.14738469609543514,0.031467435843413584,-0.014062297676697987,0.12049176908644009,0.018396375080865574,0.0007850128567203216,-0.23928876677287253,0.10731808826554708,-0.03483556544200732
32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,1,8,4,Male,79,3,1,Laboratory Technician,4,Single,3068,11864,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6,Medium,0.015607981540109186,0.10950963249671285,-0.016010495476916346,-0.0025151551828843355,0.0,0.06145650147966022,-0.1279251107645274,-0.005148751287460862,-0.2125814114144195,-0.15931809421553408,-0.44997508698947997,0.03780841682447385,-0.0025359564718595014,0.3483376961961719,0.7985915358012459,0.01995863821656989,-0.01340172119081044,-0.2972643275559945,0.0,0.42903467497285147,-0.28067560830714483,0.10923776532904936,0.3480688997347575,-0.021868514345985437,0.05756928900139685,-0.14387474156101307,0.08323104227907714,-0.11573549831230627,-0.058520972273119407,-0.10892190855735566,-0.08723198865868163,-0.03608473510053368,-0.01330135019986072,0.07781538910602696,0.005034926701472951,-0.01585302632094916,-0.06584437257806852,-0.0014899820356991573,-0.06421246739752184,-0.0006848827695574825,-0.14994539101049176,0.005282928057538447,0.05059445268716383,-0.014430077527680201,-0.004683051709698416,0.12040772237854938,0.28598854156899617,-0.009183366219894025,-0.27371443560580816,0.031467435843413584,-0.014062297676697987,-0.030122942271610022,-0.03226030992441644,-0.011292108015900021,0.09773766530159582,-0.23886929323621767,-0.03483556544200732
59,No,Travel_Rarely,1324,Research & Development,3,3,Medical,1,10,3,Female,81,4,1,Laboratory Technician,1,Married,2670,9964,4,Y,Yes,20,4,1,80,3,12,3,2,1,0,0,0,Low,-0.10445341492226917,0.14973727891319477,-0.016010495476916346,-0.0025151551828843355,0.0,-0.03724208797560008,-0.540586758392035,0.008480296238170832,0.4126580339221087,-0.15931809421553408,-0.16697188762502713,0.03780841682447385,-0.002354091332574411,-0.10258488787654255,0.7985915358012459,0.05834063478689664,-0.01340172119081044,-0.049544054592665795,0.0,0.42903467497285147,-0.7621088987139112,-0.17823003816844904,-0.1353601276746278,-0.021868514345985437,0.05756928900139685,-0.14387474156101307,0.08323104227907714,-0.11573549831230627,-0.058520972273119407,-0.10892190855735566,-0.08723198865868163,0.02119262220190073,-0.01330135019986072,-0.12696195064667556,0.005034926701472951,-0.01585302632094916,0.053872668472965145,-0.0014899820356991573,-0.06421246739752184,-0.0006848827695574825,-0.14994539101049176,0.005282928057538447,0.05059445268716383,-0.014430077527680201,-0.004683051709698416,-0.10677665946777021,-0.13458284309129234,-0.009183366219894025,-0.27371443560580816,0.031467435843413584,-0.014062297676697987,0.12049176908644009,-0.04559101650475381,-0.011292108015900021,0.09773766530159582,-0.23886929323621767,-0.03483556544200732
30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,1,11,4,Male,67,3,1,Laboratory Technician,3,Divorced,2693,13335,1,Y,No,22,4,2,80,1,1,2,3,1,0,0,0,Low,0.015607981540109186,-0.007431200109339272,-0.016010495476916346,-0.0025151551828843355,0.0,0.08168162226967257,0.6973981844904878,-0.004240148119085416,0.4126580339221087,-0.5341841982520849,-0.16697188762502713,-0.3402757514202646,-0.003925964070348199,0.46106834221435045,-0.3422535153433911,0.09672263135722338,-0.01340172119081044,-0.2972643275559945,0.0,0.42903467497285147,-0.42510559542917475,0.10923776532904936,-0.1353601276746278,0.1343351595539105,-0.7100212310172279,0.3057338258171527,-1.1972465312451865,-0.11573549831230627,-0.058520972273119407,-0.10892190855735566,-0.08723198865868163,0.02119262220190073,-0.01330135019986072,-0.12696195064667556,0.005034926701472951,-0.01585302632094916,-0.06584437257806852,-0.0014899820356991573,-0.06421246739752184,0.009099156795549408,0.02856102685914129,0.005282928057538447,0.05059445268716383,-0.014430077527680201,-0.004683051709698416,-0.10677665946777021,-0.13458284309129234,0.04821267265444363,0.14738469609543514,0.031467435843413584,-0.014062297676697987,0.12049176908644009,-0.010931179395876643,0.0068235732930304925,0.09773766530159582,0.10731808826554708,0.09914737856571314
38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,1,12,4,Male,44,2,3,Manufacturing Director,3,Single,9526,8787,0,Y,No,21,4,2,80,0,10,2,3,9,7,1,8,Very High,0.015607981540109186,-0.17800889460403396,0.784514278368901,-0.052818258840571224,0.0,0.06927688151846499,-0.540586758392035,0.0054516190102526785,-0.2125814114144195,0.02811495780274129,-0.16697188762502713,0.03780841682447385,0.0054022690915666895,-0.10258488787654255,-0.3422535153433911,-0.018423358353756854,-0.01340172119081044,0.19817621837066296,0.0,-0.16684681804499782,-0.2325322792664682,-0.03449613641969984,-0.1353601276746278,-0.021868514345985437,0.05756928900139685,-0.14387474156101307,0.08323104227907714,-0.11573549831230627,-0.058520972273119407,-0.10892190855735566,-0.08723198865868163,-0.03608473510053368,-0.01330135019986072,0.07781538910602696,0.005034926701472951,-0.01585302632094916,0.053872668472965145,-0.0014899820356991573,-0.06421246739752184,-0.0006848827695574825,-0.14994539101049176,0.005282928057538447,0.05059445268716383,-0.014430077527680201,-0.004683051709698416,-0.10677665946777021,-0.13458284309129234,-0.009183366219894025,0.14738469609543514,-0.06388843034874879,-0.014062297676697987,0.12049176908644009,-0.010931179395876643,0.0007850128567203216,0.09773766530159582,-0.23886929323621767,-0.03483556544200732
36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,1,13,3,Male,94,3,2,Healthcare Representative,3,Married,5237,16577,6,Y,No,13,3,2,80,2,17,3,2,7,7,7,7,High,0.2557307744648659,-0.19703127004128512,-0.016010495476916346,-0.0025151551828843355,0.0,0.07925460777487109,0.2847365368629802,0.010297502574921725,-0.2125814114144195,0.21554800982101666,-0.16697188762502713,0.22685050094684306,0.0038641943000317235,-0.21531553389472113,-0.3422535153433911,-0.018423358353756854,-0.01340172119081044,-0.049544054592665795,0.0,0.42903467497285147,0.5859043144250348,-0.17823003816844904,0.8314979271441428,-0.1780721882458814,0.44136454901070915,-0.14387474156101307,0.7234698290412089,-0.11573549831230627,0.14327548384108543,-0.10892190855735566,-0.08723198865868163,0.02119262220190073,-0.01330135019986072,-0.12696195064667556,0.005034926701472951,-0.01585302632094916,-0.06584437257806852,-0.0014899820356991573,-0.06421246739752184,-0.0006848827695574825,0.02856102685914129,0.005282928057538447,-0.23048584001930192,-0.014430077527680201,-0.004683051709698416,0.12040772237854938,0.28598854156899617,-0.009183366219894025,0.14738469609543514,0.031467435843413584,-0.014062297676697987,0.12049176908644009,0.018396375080865574,0.0007850128567203216,0.09773766530159582,0.10731808826554708,-0.03483556544200732
