Feature,SHAP Importance,Mean SHAP Value,Attrition Impact
OverTime,0.460218445801884,-0.04734118919715843,Decreases Attrition
StockOptionLevel,0.42489998706211646,-0.05131877348031303,Decreases Attrition
EnvironmentSatisfaction,0.40614889237243373,-0.02125067124177031,Decreases Attrition
JobInvolvement,0.38696792337902985,-0.02543491076947218,Decreases Attrition
YearsWithCurrManager,0.3185079079994198,0.08323104227907718,Increases Attrition
TotalWorkingYears,0.3058444167205866,0.059275245735184105,Increases Attrition
JobSatisfaction,0.28408130679060295,-0.10055276940683934,Decreases Attrition
WorkLifeBalance,0.2586180864998244,-0.026835243970480042,Decreases Attrition
NumCompaniesWorked,0.23789233810407703,-0.024363623292500233,Decreases Attrition
RelationshipSatisfaction,0.21873531585469383,0.048195917052729166,Increases Attrition
YearsSinceLastPromotion,0.20730931086321186,-0.03835436350287209,Decreases Attrition
YearsInCurrentRole,0.20573514618186303,0.03146076791232795,Increases Attrition
MaritalStatus_Single,0.18453642388155578,0.004177103548326668,Increases Attrition
TenureBucket_2-5,0.18390860037564571,0.02563834849473557,Increases Attrition
JobLevel,0.17353495496385885,0.025564848251472275,Increases Attrition
BusinessTravel_Travel_Frequently,0.16784152352650444,-0.022689024715523178,Decreases Attrition
TrainingTimesLastYear,0.15591706103983344,-0.028140555730129316,Decreases Attrition
DistanceFromHome,0.15204524956309692,0.01666398508821909,Increases Attrition
Department_Research & Development,0.14594772327825467,-2.245349588893596e-05,Decreases Attrition
IncomeBand_High,0.1364025383440962,0.03078006174304812,Increases Attrition
IncomeBand_Medium,0.13577350549285744,0.007176141036687653,Increases Attrition
Department_Sales,0.12246855550603102,-0.0033354009268977513,Decreases Attrition
PercentSalaryHike,0.11797633558051997,0.016564311989262084,Increases Attrition
MaritalStatus_Married,0.11424128915700613,0.01763383535283339,Increases Attrition
DailyRate,0.11196760681899233,0.0008442862942200844,Increases Attrition
JobRole_Laboratory Technician,0.10505509121839414,-0.004149785308003133,Decreases Attrition
JobRole_Research Scientist,0.0946494863195245,-0.018241537363399236,Decreases Attrition
EducationField_Medical,0.09453190663685997,0.008163232727556709,Increases Attrition
BusinessTravel_Travel_Rarely,0.08129514374886486,-0.0042967544737242324,Decreases Attrition
MonthlyIncome,0.07471663324836532,-0.0027006012017481147,Decreases Attrition
Gender_Male,0.05859619798382253,0.006637373364394026,Increases Attrition
SatisfactionLevel_Medium,0.05717211492366815,0.014959012148486692,Increases Attrition
YearsAtCompany,0.05568076539016718,0.006821956370322034,Increases Attrition
Age,0.05239414002082686,0.01356612105605516,Increases Attrition
IncomeBand_Very High,0.05014790190003237,-0.0029348644877881624,Decreases Attrition
EmployeeNumber,0.048068822915521475,0.009320940300641066,Increases Attrition
JobRole_Manufacturing Director,0.04177293044024054,0.009131756886936352,Increases Attrition
TenureBucket_5-10,0.04073057713065241,0.004222902645652901,Increases Attrition
Education,0.03830906431617707,0.0005646266737087376,Increases Attrition
EducationField_Life Sciences,0.02762560974654837,-0.003549637585205275,Decreases Attrition
EducationField_Marketing,0.023606629077303758,-0.0007339369346861848,Decreases Attrition
EducationField_Technical Degree,0.02318639904084394,-0.00668631042108058,Decreases Attrition
JobRole_Sales Representative,0.0222683887420354,0.013635007698985901,Increases Attrition
PerformanceRating,0.020657635064826617,-0.0024079122907858463,Decreases Attrition
JobRole_Sales Executive,0.020537572630345214,-0.003119901411633911,Decreases Attrition
WorkloadIndex,0.015978710880649307,0.0029527061650053347,Increases Attrition
TenureBucket_10+,0.0156882506256523,0.00038264025916225395,Increases Attrition
SatisfactionLevel_Low,0.013079589181047447,-0.004235212720192881,Decreases Attrition
EducationField_Other,0.012912703173165353,-0.0035278738112361615,Decreases Attrition
JobRole_Research Director,0.010781485831711155,-0.0008265805804311894,Decreases Attrition
HourlyRate,0.005280612064730769,-0.0001380417512044328,Decreases Attrition
Cluster,0.003534817180574758,0.00020991186278601932,Increases Attrition
MonthlyRate,0.0032123729699540977,0.0006525536736551826,Increases Attrition
JobRole_Human Resources,0.0027721774609776907,-9.629135604858537e-05,Decreases Attrition
JobRole_Manager,0.0012286623834821245,-5.258089290091486e-05,Decreases Attrition
StandardHours,0.0,0.0,Decreases Attrition
EmployeeCount,0.0,0.0,Decreases Attrition
